wealth,age,educ,marry
537132.,52,4,1
186186.,30,4,1
767535.,46,3,0
2576893.,55,2,0
299082.,38,4,1
10678.,36,3,0
11737.,28,3,0
3156.,22,5,0
107157.,46,2,0
73463.,34,2,1
2145.,26,2,0
238966.,32,5,1
596955.,63,2,1
213407.,32,2,0
13762.,37,1,1
192667.,44,3,1
186163.,34,1,0
400170.,59,5,1
3103.,23,3,0
3146.,22,3,0
166145.,37,2,1
7941.,23,2,0
102624.,51,3,1
103840.,49,2,0
43647.,61,2,1
535307.,42,2,1
6973.,23,2,0
199424.,50,5,1
370880.,52,2,0
3518.,23,2,0
2517.,27,4,1
31836.,44,1,0
4828.,21,2,0
2759.,37,2,1
8797.,24,2,0
6467.,33,3,0
222715.,58,3,1
341138.,73,5,1
129465.,37,3,0
8937.,26,2,1
450552.,58,2,1
67201.,45,4,0
649070.,52,5,1
3820.,22,2,0
734936.,48,2,0
2442.,23,3,0
67904.,67,2,1
935505.,68,5,1
5466.,34,3,1
517364.,48,5,1
142666.,49,4,0
2345.,21,3,0
90321.,34,2,1
123880.,50,2,1
11404.,28,5,0
416885.,38,3,1
184368.,61,5,0
7679.,38,1,1
111693.,60,5,1
222789.,50,4,0
241278.,58,4,1
54402.,28,4,1
34566.,23,4,0
8621.,32,2,0
14352.,29,4,1
25274.,26,2,0
65306.,65,1,1
405357.,61,4,0
178222.,53,1,1
203813.,42,4,1
33186.,25,2,1
1480.,29,3,0
242724.,64,4,0
180162.,49,4,1
21139.,24,3,0
52629.,29,5,0
33318.,30,3,0
15072.,67,5,1
5583.,24,4,0
88087.,54,2,1
70798.,52,2,1
22489.,45,5,1
905513.,55,5,1
87340.,59,3,1
306872.,38,1,1
84539.,36,2,0
93941.,52,5,1
11196.,23,4,0
10103.,41,3,1
385238.,44,3,1
451909.,56,2,0
77100.,59,3,1
140466.,48,4,1
93522.,63,4,1
736647.,62,1,1
27887.,22,3,0
213456.,48,2,1
65662.,33,5,1
11854.,34,1,0
70574.,58,2,1
765438.,33,3,1
15821.,33,4,0
733581.,50,2,0
11870.,21,2,0
2919762.,54,4,1
355315.,49,4,1
320625.,59,4,0
65944.,71,2,1
46207.,30,5,1
142767.,37,5,1
7560.,34,3,1
42839.,33,4,1
181835.,68,4,0
305998.,55,3,1
96118.,39,2,1
144175.,63,4,1
326043.,47,2,0
89930.,63,2,1
7016.,45,2,1
148283.,62,3,1
